;Startup Name;Funding Date;Founding Date;City;Industry/Vertical;Sub-Vertical;Founders;Investors;Amount(in USD);Investment Stage
0;Rusk Media;01/06/2020;2019;Delhi;Digital Media;It creates video content;Mayank Yadav;InfoEdge Venture Fund, Sprout Venture Partners;Undisclosed;Seed Round
1;Bold Care;01/06/2020;2019;Mumbai;Health & Wellness;Digital platform that offers sexologist consultations for  men;Rajat Jadhav, Rahul Krishnan, Harsh Singh, Mohit Yadav;Rajesh Ranavat, Abhishek Shah, Sheetal Bahl, Manu Rikhye, Ashish Taneja, Kabir Kochhar, Mohit Satyanand;Undisclosed;Pre-seed Round
2;Samosa Party;01/06/2020;2017;Bangalore;Food;Provides quality Indian Snacks;Amit Nanwani;Inflection Point Ventures;Undisclosed;
3;High Street Essentials;01/06/2020;2012;New Delhi;Ecommerce;The parent company of women's fashion brands FabAlley and Indya;Shivani Poddar, Tanvi Malik;SAIF Partners, India Quotient;$2,743,000;Pre series C
4;Byju's;01/06/2020;2011;Bangalore;Edtech;Provides online learning classes;Byju Raveendran;BOND;Undisclosed;
5;Bombay Play;01/06/2020;;Bangalore;Gaming;It designs and creates online multiplayer games;Abhas Saroha, Oliver Jones;Leo capital, Ramakant Sharma;$1,500,000;Pre series A
6;Fullife;01/06/2020;2011;Mumbai;Healthtech;It sells sports nutrition supplements through a brand called Fast&Up;Varun Khanna;Amansa Capital;$6,609,000;
7;Oziva;01/06/2020;2016;;Nutrition;Clean Label Active Nutrition Brand;Aarti Gill, Mihir Gadani;Matrix Partners;$5,000,000;Series A
8;Aye Finance;01/06/2020;2014;Gurugram;Fintech;A finance lender to SMEs;Vikram Jetley, Sanjay Sharma;Capital G, Alphabet's Independent growth fund;$27,700,000;Series E
9;Aether Biomedical;01/06/2020;2016;Delhi;Medtech;Medical robotics startup, focussed on developing rehabilitation devices;Dhruv Agrawal, Faith Jiwakhan;Chiratae Ventures;Undisclosed;Seed Investment
10;91springboard;01/06/2020;2012;Delhi;Coworking;It offers collaborative workspace with varied amenities;Vemuri, Deepak Sharma, Pranay Gupta, Varun Chawla;Pearl Brook Holdings Ltd, Al Nour International Holdings Co.;$5,940,000;
11;Yulu;01/06/2020;;;Micro-mobiity;The electric and scooter rental startup;Amit Gupta;Rocketship;$3,964,000;
12;MergerDomo;01/06/2020;2018;Noida;Marketplace;Global online corporate deal sourcing and consulting marketplace;Hormazd Charna, Manoj Mishra;Nadir Godrej, Individual Investors;$197,000;
13;GoMechanic;01/06/2020;2016;Delhi;Auto-tech;Find automobile repair and maintenance service providers;Amit Bhasin, Kushal Karwa, Nitin Rana, Rishabh Karwa;Pawan Munjal;Undisclosed;Series B
14;Milk Mantra;01/06/2020;2009;Odisha;Food;Produces Dairy Products;Srikumar Misra;US International Development Finance Corporation;$10,000,000;
15;Myglamm;01/06/2020;2015;Mumbai;Beauty;On-demand beauty services provider;Darpan Sanghvi;Tano India, L’Occitane, Bessemer;$4,327,000;
16;Drishti Technologies;01/06/2020;;Bangalore;AI;AI-based video analytics, data, and insights bring benefits to manufacturers;Prasad Akella;Sozo Ventures;$25,000,000;Series B
17;Instasolv;01/06/2020;2019;Noida;Edtech;It is a doubt-solving app for students from Class 6 to 12;Aditya Singhal, Nishant Sinha, Bahul Arora;Undisclosed;$2,000,000;Pre series A
18;GoldenPi;01/06/2020;2017;Bangalore;Fintech;An online aggregator of bonds and debentures available in the secondary market;Abhijit Roy, Samir Pratihar;Rainmatter Capital;$459,000;
19;Sarva;01/06/2020;;Mumbai;Yoga & wellness;It drives a cultural change in making yoga-based wellness a part of modern lifestyle;Sarvesh Shashi;Shikhar Dhawan;Undisclosed;
